Action id,"
Municipality/Region name ",Province,Action Label/Name and Description,"Policy lever (voluntary, price, investments, mandating) (i.e., mode of governance)","Strategy
(Managable Coding)","Action
(Managable Coding)","Internal funding secured (i.e., funding from local gov budget) - Yes/No","External funding secured (e.g., from private sector, provincial/ferderal govt, etc.) - Yes/No","Project stage (e.g., planned, underway, ongoing, complete, not indicated)",,,,,,,,,
ID-Okotoks-008,Okotoks,Alberta,Partner with other local governments and the Alberta Urban Municipalities Association (AUMA) to lobby the Province for the adoption of a province-wide energy benchmarking regulation.,Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Underway,,,,,,,,,
ID-Okotoks-009,Okotoks,Alberta,"Create an energy management guideline that outlines municipal energy performance requirements, including an analysis of optimal efficiency of each building and development of an energy rating standard.",Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Underway,,,,,,,,,
ID-Okotoks-010,Okotoks,Alberta,"Conduct a comprehensive energy audit and resilience review of all Town buildings to identify opportunities for energy savings and improved resilience. Items to evaluate include, but are not limited to: 
• Potential energy and cost savings related to facility and equipment operation 
• Electricity and space heating demand, along with the potential for alternative energy sources
• Installation and/or improvement of motion sensor lights in all Town buildings
• Review of facility exposure to climate hazards and measures to reduce risk (e.g. mechanical cooling, air filtration, emergency supplies)
• Backup power type, hours, and refueling potential",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Underway,,,,,,,,,
ID-Okotoks-011,Okotoks,Alberta,"Design and implement a low-carbon resilience retrofit program for existing buildings that explores:
• Grants, rebates, or refunds on retrofit products and materials, in alignment with existing programs
• Programs that allow homeowners to finance their retrofits through the Town and repay the loan through their property tax bill
• Time of sale energy audits
• Bulk buying renewable energy or retrofit products to reduce cost
• Skill training for energy retrofits and servicing
• Support for resilience retrofits, such as energy efficient cooling and floodproofing measures",Price Signals,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Okotoks-012,Okotoks,Alberta,Encourage energy audits and EnerGuide labelling at point of sale.,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote building energy rating systems (commercial and residential),No,No,Underway,,,,,,,,,
ID-Okotoks-013,Okotoks,Alberta,Provide support and incentives for on- and off-site renewable energy for new and existing buildings.,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway,,,,,,,,,
ID-Okotoks-014,Okotoks,Alberta,"Work with the Province, banks, and other organizations to provide alternative financing arrangements for solar PV systems, including increasing availability to existing programs.",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway,,,,,,,,,
ID-Okotoks-015,Okotoks,Alberta,Develop incentives for the building industry to meet specified higher levels of new construction building standards than those required within each sector. Include incentives for installing resilience-related upgrades (e.g. heat pumps that provide summer cooling).,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway,,,,,,,,,
ID-Okotoks-016,Okotoks,Alberta,Increase the production of renewable energy through the installation of more solar PV systems on all municipal buildings and facilities.,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Underway,,,,,,,,,
ID-Okotoks-017,Okotoks,Alberta,"Conduct a feasibility analysis of low-carbon district energy heating and cooling systems for new builds, including wastewater systems.",Public Investment,Expand capacity of efficient heating and cooling\Invest in Technology Development and Deployment,Develop and expand low- to no-carbon district heating and cooling systems ,No,No,Underway,,,,,,,,,
ID-Okotoks-018,Okotoks,Alberta,Create a reward system that encourages land developers and individuals to adopt low-carbon renewable energy systems for space heating,Price Signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Underway,,,,,,,,,
ID-Okotoks-019,Okotoks,Alberta,Work with local building owners and other municipalities to implement a voluntary energy benchmarking program.,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Ongoing,,,,,,,,,
ID-Okotoks-020,Okotoks,Alberta,"Work with utilities to improve building owner and tenant access to energy consumption data, which can encourage energy use reductions.",Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Work with utilities to improve customer access to energy use data ,No,No,Ongoing,,,,,,,,,
ID-Orillia-001,Orillia,Ontario,"(Residential Solar Program)
Develop a financing program (i.e. Solar 
Colchester, Halifax’s Solar City).",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway,,,,,,,,,
ID-Orillia-002,Orillia,Ontario,"(Residential Solar Program)
Incorporate a requirement for solar into a green development standard",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,No,Underway,,,,,,,,,
ID-Orillia-003,Orillia,Ontario,"(Business Solar Program) Provide incentives to businesses such as reduced development cost charges.
",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Underway,,,,,,,,,
ID-Orillia-004,Orillia,Ontario,"(Business Solar Program)
Identify feasible locations or roof spaces. ",Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,Yes,No,Underway,,,,,,,,,
ID-Orillia-005,Orillia,Ontario,"(Orillia Retrofit Savings Program: Residential and Non-Residential)
Develop LIC retrofit program focussed on deep climate retrofits
LICs : Local Improvement Charges",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,Yes,Underway,,,,,,,,,
ID-Orillia-006,Orillia,Ontario,"
(Orillia Retrofit Savings Program: Residential and Non-Residential)
Develop an affordable, social housing stream for rental housing with incentives.",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,Yes,Underway,,,,,,,,,
ID-Orillia-007,Orillia,Ontario,"(Solar Neighborhood Pilot  Program)
Develop a pilot neighbourhood retrofit program.",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,Yes,Yes,Underway,,,,,,,,,
ID-Orillia-008,Orillia,Ontario,"(Orillia Green Building Standard)
Develop a green standard policy for site planning, including a climate minimum performance standard",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,Yes,Underway,,,,,,,,,
ID-Orillia-009,Orillia,Ontario,Develop Integrated Energy Master Plans (IEMPs) for high growth areas for opportunities for district energy and/or near-net zero neighbourhoods,Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Underway,,,,,,,,,
ID-Ottawa-001,Ottawa,Ontario,Better Homes Ottawa Loan Program,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,Yes,Underway,,,,,,,,,
ID-Ottawa-002,Ottawa,Ontario,Better Buildings Ottawa Energy Benchmarking and Auditing Program,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Underway,,,,,,,,,
ID-Ottawa-003,Ottawa,Ontario,Energy and Emissions Community Improvement Plan,Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Planned,,,,,,,,,
ID-Ottawa-004,Ottawa,Ontario,High Performance Development Standard,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned,,,,,,,,,
ID-Ottawa-005,Ottawa,Ontario,Municipal Green Building Policy - Energy Efficiency,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Underway,,,,,,,,,
ID-Ottawa-006,Ottawa,Ontario,Municipal Green Building Policy - Retrofitting,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Underway,,,,,,,,,
ID-Ottawa-007,Ottawa,Ontario,"Better Buildings Network (to build capacity and peer to peer
learning opportunities on commercial building retrofits. )",Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Underway,,,,,,,,,
ID-Owen Sound-001,Owen Sound,Ontario," Energy Efficient Retrofits in Existing Buildings/Facilities - Continue to upgrade/retrofit City-owned buildings/facilities with energy efficient systems; explore upgrades to heating, ventilation, and cooling (HVAC) systems, interior lighting, building climate control, upgrades to water meters ",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Ongoing,,,,,,,,,
ID-Owen Sound-002,Owen Sound,Ontario,"Conduct building condition assessments (BCAs)/energy audits across corporate facilities to determine priority order for retrofits, beginning with the least energy efficient facilities, and to determine areas in buildings with the greatest opportunity for energy efficient improvements ",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Ongoing,,,,,,,,,
ID-Owen Sound-003,Owen Sound,Ontario,Energy Efficient New Buildings/Facilities - Explore new construction funding opportunities ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Ongoing,,,,,,,,,
ID-Owen Sound-004,Owen Sound,Ontario,"Energy Efficient New Buildings/Facilities - Integrate green infrastructure such as green roofs, low impact development (LID) landscaping, permeable pavements and tree and native species planting",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Ongoing,,,,,,,,,
ID-Owen Sound-005,Owen Sound,Ontario,Energy Efficient Retrofits in Existing Buildings/Facilities - Incorporate electric vehicle infrastructure and solar photovoltaic technology into retrofits where feasible ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Ongoing,,,,,,,,,
ID-Owen Sound-006,Owen Sound,Ontario,"Energy Efficient Retrofits in Existing Buildings/Facilities - Integrate green infrastructure such as green roofs, low impact development (LID) landscaping, permeable pavements and tree and native species planting into retrofits where feasible ",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Ongoing,,,,,,,,,
ID-Owen Sound-007,Owen Sound,Ontario,Energy Efficient New Buildings/Facilities - Build new City-owned buildings/facilities to net-zero ready standards,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Planned,,,,,,,,,
ID-Owen Sound-008,Owen Sound,Ontario,"Energy Efficient Retrofits in Existing Buildings/Facilities - Explore potential reuse of heritage buildings/sites, with energy efficient systems",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,No,No,Planned,,,,,,,,,
ID-Owen Sound-009,Owen Sound,Ontario,Energy Efficient Retrofits in Existing Buildings/Facilities - Explore energy efficient building retrofit funding opportunities,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Planned,,,,,,,,,
ID-Owen Sound-010,Owen Sound,Ontario, Exploration of Renewable Energy Opportunities in Buildings/Facilities - Continue to explore opportunities to integrate solar photovoltaic systems into corporate buildings/facilities ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Planned,,,,,,,,,
ID-Owen Sound-011,Owen Sound,Ontario,Exploration of Renewable Energy Opportunities in Buildings/Facilities -  Continue to explore solar lease options ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Planned,,,,,,,,,
ID-Peterborough-001,Peterborough,Ontario,Complete remaining interior and exterior LED lighting retrofit (Courthouse) ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing,,,,,,,,,
ID-Peterborough-002,Peterborough,Ontario,Conduct an assessment to explore opportunities for solar photovoltaic panels and other renewable energy options at all municipal facilities ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,No,Ongoing,,,,,,,,,
ID-Peterborough-003,Peterborough,Ontario,Conduct building re-commissioning to optimize building operations where applicable ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,Yes,No,Ongoing,,,,,,,,,
ID-Peterborough-004,Peterborough,Ontario,Conduct regular energy audits of County facilities on a rotational basis to identify opportunities for improved efficiency ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing,,,,,,,,,
ID-Peterborough-005,Peterborough,Ontario,Converting electric hot water heaters to solar  ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,No,Ongoing,,,,,,,,,
ID-Peterborough-006,Peterborough,Ontario,Establish a Green New Building Policy to require new municipal buildings and major renovations be built to high environmental standards,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,No,Ongoing,,,,,,,,,
ID-Peterborough-007,Peterborough,Ontario,Establish a policy to consider highest energy efficiency as part of procurement requirements and evaluation,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing,,,,,,,,,
ID-Peterborough-008,Peterborough,Ontario,Explore installation of building automation systems to optimize building operations were feasible ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,Yes,No,Ongoing,,,,,,,,,
ID-Peterborough-009,Peterborough,Ontario,Formalize and continue to deliver an equipment preventative maintenance program on an ongoing basis ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,Yes,No,Ongoing,,,,,,,,,
ID-Peterborough-010,Peterborough,Ontario,Implement employee training for energy efficiency    ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,Yes,No,Ongoing,,,,,,,,,
ID-Peterborough-011,Peterborough,Ontario,Implement staff behaviour change programs to reduce usage of electricity and heating in day-to-day activities,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,Yes,No,Ongoing,,,,,,,,,
ID-Peterborough-012,Peterborough,Ontario,Install geothermal heating and cooling systems for new buildings and major renovations (e.g. Courthouse) if feasible,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,No,Ongoing,,,,,,,,,
ID-Peterborough-013,Peterborough,Ontario,Install programmable thermostats and occupancy sensors in all facilities where feasible ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing,,,,,,,,,
ID-Peterborough-014,Peterborough,Ontario,Integrated energy audits/assessments of each facility into the annual Building Condition Assessment process to identify opportunities to improve energy efficiency  ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing,,,,,,,,,
ID-Peterborough-015,Peterborough,Ontario,Replace appliances with Energy STAR rated appliances as needed ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing,,,,,,,,,
ID-Peterborough-016,Peterborough,Ontario,Replace full HVAC system in Courthouse ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing,,,,,,,,,
ID-Peterborough-017,Peterborough,Ontario,Replace mechanical equipment with high efficiency according to replacement schedule/need,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing,,,,,,,,,
ID-Peterborough-018,Peterborough,Ontario,Replace windows and doors with high efficiency according to replacement schedule/need ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing,,,,,,,,,
ID-Peterborough-019,Peterborough,Ontario,Upgrade insulation/building envelope as per Asset Management Plan,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,No,Ongoing,,,,,,,,,
ID-Peterborough-020,Peterborough,Ontario,"Develop and implement a comprehensive multi-year deep energy retrofit program focused on existing households to achieve efficiency gains of at least 30% to 50% depending on the age and type of building. - Deep energy retrofit
programs typically offer a range of standardized packages for residents to choose
from, offer a financing mechanism, and leverage available grants and incentive
programs. ",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Planned,,,,,,,,,
ID-Peterborough-021,Peterborough,Ontario,Implement gradual improvement in new building stock efficiency aimed at achieving near net-zero or equivalent (0.14 to 0.24 GJ/m2) in all new buildings by 2031. ,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,No,Planned,,,,,,,,,
ID-Peterborough-022,Peterborough,Ontario,"Work with utilities (PDI, Hydro One, Enbridge as appropriate) to deliver a coordinated deep energy retrofit program to industrial, commercial, and institutional organizations. - Energy Performance Labelling (EPL) is a low-cost tool that can help share the
energy performance of any and all buildings. The MOE has indicated that it is
looking to move in the direction of energy performance disclosure with proposed
amendments to the Green Energy Act, 2009 that aims to include energy
performance disclosure for large buildings.",Mandates,Mandate Performance Improvement of Existing Buildings,"Require targeted buildings (e.g., commercial above certain amount of floor area) to benchmark (measure and disclose) energy performance, and/or conduct energy audits, and/or install energy sub-meters for large tenants",Yes,No,Planned,,,,,,,,,
ID-Peterborough-023,Peterborough,Ontario,Encourage local businesses to participate in energy benchmarking through the use of Energy Star Portfolio Manager provided through Natural Resources Canada ,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,Yes,No,Planned,,,,,,,,,
ID-Peterborough-024,Peterborough,Ontario,Work with the Building Owners and Managers Association (BOMA) to expand their Operator Training program to the Greater Peterborough Area (County and City partnership) ,Price Signals,Subsidize Capacity Improvements for Building Management,Support efforts to train building operators in energy efficiency best practices,Yes,No,Planned,,,,,,,,,
ID-Peterborough-025,Peterborough,Ontario,"Implement gradual improvement in efficiency of industrial, commercial, and institutional buildings. ",Action under consideration by municipality - not enough information to code.,,,Yes,No,Planned,,,,,,,,,
ID-Peterborough-026,Peterborough,Ontario,"Conduct a regional study to explore the potential to implement local renewable energy generation and storage (institutional, commercial, industrial, and residential). ",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,Yes,No,Planned,,,,,,,,,
ID-Peterborough-027,Peterborough,Ontario,Continue to monitor incentive programs offered through utilities and other third party funding source to be leveraged for implementing energy efficiency improvements,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Underway,,,,,,,,,
ID-Port Moody-001,Port Moody,British Columbia,  Perform comprehensive climate audits on all civic facilities and prioritize upgrades where feasible and highest risk. ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Planned,,,,,,,,,
ID-Port Moody-002,Port Moody,British Columbia,  Develop and implement a green buildings policy for the construction and renovation of City-owned facilities.,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned,,,,,,,,,
ID-Port Moody-003,Port Moody,British Columbia,Develop a strategy and adopt the BC Energy Step Code in advance of the provincial timeline. ,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Complete,,,,,,,,,
ID-Port Moody-004,Port Moody,British Columbia,Revise the City’s Sustainability Report Card to include performance measures to reduce operational and embodied GHG emissions and climate risks.,Mandates,Mandate Reporting,Adopt Building Energy and Reporting Disclosure ordinances,No,No,Underway,,,,,,,,,
ID-Port Moody-005,Port Moody,British Columbia,  Develop and implement a green buildings rezoning policy for development applications.,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned,,,,,,,,,
ID-Port Moody-006,Port Moody,British Columbia,"  Develop a resilient, zero-emissions plan for all existing buildings that includes addressing indoor air quality, and climate risks where possible.",Mandates,Mandate Performance Improvement of Existing Buildings,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Port Moody-007,Port Moody,British Columbia,"Develop a resilient, zero-emissions plan for all new buildings that includes addressing indoor air quality and climate risks where possible. ",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned,,,,,,,,,
ID-Port Moody-008,Port Moody,British Columbia,"  Initiate/continue discussions with federal and provincial governments to advocate for authority, financing tools, benchmarking, and other policies essential for achieving zero emissions buildings.",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Port Moody-009,Port Moody,British Columbia,Explore opportunities for partnerships and financing strategies to support residents and business owners to address climate action for buildings.  ,Price Signals,Increase Access to Financing,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Port Moody-010,Port Moody,British Columbia,"Explore the feasibility of creating a renewable energy hub where the City could generate or partner with organizations to produce renewable energy, and use this energy to power buildings and equipment.",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Quispamsis-001,Quispamsis,New Brunswick,"Infrastructure (heating, cooling) - Clean Energy Conversion (Oil to Electricity): Quispamsis wishes to reduce heating oil consumption in the community in favor of electricity. The municipality plans to run a survey on heating oil users for a better understanding of their number, needs and demands. The survey will allow to adjust the project's target and timeline.",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Complete,,,,,,,,,
ID-Quispamsis-002,Quispamsis,New Brunswick," Infrastructure (heating, cooling) - Energy efficiency - Residential - Clothes Line Program Quispamsis wishes to promote simple yet efficient measures that will reduce energy costs and carbon footprint of its citizens. ",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote “cool roofs” — coating of rooftops white to reduce building energy use — and other low-cost approaches,No,No,Planned,,,,,,,,,
ID-Quispamsis-003,Quispamsis,New Brunswick,"Incentives - Infrastructure (lighting) LED lighting - LED technology is more reliable with a much longer life span compared to incandescent or fluorescent bulbs. LED technology is more reliable with a much longer life span compared to other types of lighting. In the community, voluntary conversions and those made through information, awareness and incentive campaigns reduce electricity consumption. ",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Ongoing,,,,,,,,,
ID-Quispamsis-004,Quispamsis,New Brunswick,"Information campaign - Infrastructure (lighting) LED lighting - LED technology is more reliable with a much longer life span compared to incandescent or fluorescent bulbs. LED technology is more reliable with a much longer life span compared to other types of lighting. In the community, voluntary conversions and those made through information, awareness and incentive campaigns reduce electricity consumption. ",Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Ongoing,,,,,,,,,
ID-Region of Peel-001,Region of Peel,Ontario,"Undertake deep retrofits of existing buildings to target near net-zero emissions, leveraging planned investments for state of good repair work and prioritizing energy intensive buildings.  Outcome: Corporate greenhouse gas emissions are reduced by 45% by 2030, relative to 2010 levels.",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Not Indicated,,,,,,,,,
ID-Region of Peel-002,Region of Peel,Ontario,"Implement energy efficiency information campaigns for buildings. Outcome: Corporate greenhouse gas emissions are reduced by 45% by 2030, relative to 2010 levels.",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Not Indicated,,,,,,,,,
ID-Region of Peel-003,Region of Peel,Ontario,"Recommission buildings on an ongoing basis. Outcome: Corporate greenhouse gas emissions are reduced by 45% by 2030, relative to 2010 levels.",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Not Indicated,,,,,,,,,
ID-Region of Peel-004,Region of Peel,Ontario,"New buildings will be constructed to a high performance and are constructed to net-zero emissions ready. Outcome: Corporate greenhouse gas emissions are reduced by 45% by 2030, relative to 2010 levels.",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Not Indicated,,,,,,,,,
ID-Richmond Hill-001,Richmond Hill,Ontario," Implement Property Assessed Clean Energy (PACE) programs to finance/deliver building retrofits, including heat pumps and solar PV, for different sectors/building types.",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,Yes,Ongoing,,,,,,,,,
ID-Richmond Hill-002,Richmond Hill,Ontario, Update Sustainability Metrics to align with net-zero GHG standards. - Technical analysis: developing and integrating a stepped approach for net-zero GHG buildings. Consulting program and budget,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,No,Planned,,,,,,,,,
ID-Richmond Hill-003,Richmond Hill,Ontario, Zoning regulation updates. - Adopt a net-zero building standard that includes specifications for rooftop solar. ,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,Yes,Planned,,,,,,,,,
